@@,name,position
---,Teresa Martinez Acosta,Minister of Children and Adolescents
---,Oscar Llamosas Diaz,Minister of Finance
---,Moses Bertoni,Minister of Agriculture and Livestock
---,Mario Varela,Minister of Social Development
---,Mario Abdo Benítez,President of Paraguay
---,Luis Castiglioni,Minister of Industry and Commerce
---,Julio Borba,Minister of Health and Social Affairs
---,Juan Manuel Brunetti,Minister of Education and Sciences
---,Hugo Velázquez Moreno,Vice President of Paraguay
---,Hugo Cáceres,Minister of the Social Cabinet
---,Fernando Saguier,Minister of Information and Communication Technologies
---,Euclides Acevedo,Minister of Foreign Affairs
---,Cesar Ariel Oviedo Verdún,Minister of the Environment and Sustainable Development
---,Celina Esther Lezcano,Minister of Women
---,Cecilia Perez,Minister of Justice
---,Carlos Alberto Pereira,"Minister of Urbanism, Housing and Habitat"
---,Carla Bacigalupo,"Minister of Labour, Employment and Social Security"
---,Bernardino Soto Estigarribia,Minister of National Defense (Paraguay)
---,Arnoldo Wiens Durksen,Minister of Public Works and Communications
---,Arnaldo Giuzzio,Minister of the Interior
